Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,138,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,148,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,15,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits,376,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,1,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,13,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,128,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,217,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,16,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits,339,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,0,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,19,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,112,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,187,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,18,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits,299,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,0,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,10,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,103,3.0
